EventName,qx10-3,s(thetaE)
MOA-2007-BLG-192,0.179,1
MOA-2007-BLG-308,0.095,0.926
MOA-2007-BLG-379,0.316,1.26
MOA-2008-BLG-288,11.8,0.877
MOA-2008-BLG-379,6.85,0.903
MOA-2008-BLG-379,6.99,1.119
MOA-2009-BLG-266,0.058,0.91
MOA-2009-BLG-319,0.395,0.975
MOA-2009-BLG-387,13.35,0.913
MOA-2010-BLG-117,0.75,0.86
MOA-2010-BLG-328,0.26,1.15
MOA-2010-BLG-353,1.38,1.46
MOA-2010-BLG-477,2.18,1.12
MOA-2011-BLG-028,0.181,1.673
MOA-2011-BLG-197,3.954,01.04
MOA-2011-BLG-262,0.454,01.01
MOA-2011-BLG-291,0.409,1.21
MOA-2011-BLG-322,28.4,1.822
MOA-2012-BLG-006,16.14,4.32
MOA-2012-BLG-288,01.09,0.41
MOA-2012-BLG-288,01.09,2.43
MOA-2012-BLG-355,0.7,0.76
MOA-2012-BLG-505,0.19,0.91
MOA-2012-BLG-505,0.2,1.12
MOA-2012-BLG-527,0.24,0.89
MOA-2012-BLG-527,0.22,1.004
